,Household_ID,Vehicle,Calendar_Year,Model_Year,Blind_Make,Blind_Model,Blind_Submodel,Cat1,Cat2,Cat3,Cat4,Cat5,Cat6,Cat7,Cat8,Cat9,Cat10,Cat11,Cat12,OrdCat,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,NVCat,NVVar1,NVVar2,NVVar3,NVVar4,Claim_Amount
0,1,3,2005,2005,K,K.78,K.78.2,D,C,F,?,?,C,?,C,A,B,F,D,4,1.2705325,0.9994181000000001,0.5881536,0.9083511000000001,1.0089120999999999,0.2610397,0.9077934000000001,-0.077998,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
1,2,2,2005,2003,Q,Q.22,Q.22.3,B,C,A,A,A,E,C,A,B,A,B,D,5,0.21795050000000002,0.5671395,1.4212056,0.48550859999999996,1.2408507,0.4329871,-0.7264590999999999,0.2047848,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
2,3,1,2005,1998,AR,AR.41,AR.41.1,B,?,A,A,A,C,C,A,B,A,E,D,2,-0.7542818,-1.6461267,-1.1010908000000001,-1.6794449,-0.9714867,-1.4057973999999998,-0.8370476,-1.1768577,F,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
3,3,1,2006,1998,AR,AR.41,AR.41.1,B,?,A,A,A,C,C,A,B,B,B,B,2,-0.7542818,-1.6461267,-1.1010908000000001,-1.6794449,-0.9714867,-1.4057973999999998,-0.8370476,-1.1768577,F,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
4,3,2,2005,2001,D,D.20,D.20.0,J,C,B,?,?,D,?,A,B,A,B,B,5,0.5634545,1.8639752,1.8145913,1.8386046000000003,0.8126563,2.1126909,1.5344617,2.3472605,F,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
5,3,2,2006,2001,D,D.20,D.20.0,J,C,B,?,?,D,?,A,B,B,A,D,5,0.5634545,1.8639752,1.8145913,1.8386046000000003,0.8126563,2.1126909,1.5344617,2.3472605,F,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
6,4,1,2006,2001,AJ,AJ.129,AJ.129.3,G,C,A,A,C,E,A,A,B,A,E,C,4,0.7000491,0.2213167,1.0509603,0.1472346,0.5807177,0.5511279,0.4162889,-0.024395,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
7,4,2,2006,2002,AQ,AQ.17,AQ.17.1,B,C,B,A,A,D,C,B,A,A,C,B,4,0.017075999999999997,0.2213167,0.3336099,0.23180309999999998,0.5271934,-0.023199900000000002,-0.7018839,0.22666350000000002,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
8,4,3,2005,2002,AQ,AQ.17,AQ.17.1,B,C,B,A,A,D,C,B,A,B,B,C,4,0.017075999999999997,0.2213167,0.3336099,0.23180309999999998,0.5271934,-0.023199900000000002,-0.7018839,0.22666350000000002,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
9,5,1,2005,1995,BW,BW.3,BW.3.0,D,?,E,?,?,D,?,A,B,A,A,D,4,0.4429298,-0.5567847,1.0972409,-0.5293134,0.176312,0.2832642,0.9692315,-0.7923388000000001,N,2.0546834,-0.2661168,-0.27233720000000006,-0.2514189,0.0
10,5,1,2006,1995,BW,BW.3,BW.3.0,D,?,E,?,?,D,?,A,B,A,B,B,4,0.4429298,-0.5567847,1.0972409,-0.5293134,0.176312,0.2832642,0.9692315,-0.7923388000000001,N,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
11,5,3,2005,2003,BW,BW.167,BW.167.0,I,C,F,?,?,D,?,B,A,A,B,E,5,0.3224052,1.4316966999999998,1.5831879,1.4157621,0.342832,1.4518048000000001,1.6942006,1.2424935,N,2.0546834,-0.2661168,-0.27233720000000006,-0.2514189,0.0
12,5,3,2006,2003,BW,BW.167,BW.167.0,I,C,F,?,?,D,?,B,A,A,A,B,5,0.3224052,1.4316966999999998,1.5831879,1.4157621,0.342832,1.4518048000000001,1.6942006,1.2424935,N,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
13,5,4,2005,2004,Y,Y.9,Y.9.0,F,C,A,C,A,C,?,B,B,B,A,C,2,-0.6337571999999999,-0.8161519,-0.7771260999999999,-0.7830189000000001,-0.608711,-1.1344246,-1.1933885,-0.7321723000000001,N,2.0546834,-0.2661168,-0.27233720000000006,-0.2514189,0.0
14,5,4,2006,2004,Y,Y.9,Y.9.0,F,C,A,C,A,C,?,B,B,B,F,D,2,-0.6337571999999999,-0.8161519,-0.7771260999999999,-0.7830189000000001,-0.608711,-1.1344246,-1.1933885,-0.7321723000000001,N,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
